asset,weight,strategy,return
CZR,0.1955360892782144,Scalping,4.694042979813507
INTC,0.1594868102637947,RSIDivergence,17.569499852617216
MHK,0.1158176836463271,Scalping,8.844675074584769
BLDR,0.1077378452430951,RSIDivergence,25.506435243506324
URI,0.0884082318353633,MichaelHarrisPriceAction,14.858892132580252
ON,0.0705985880282394,RSIDivergence,38.94019865332742
NCLH,0.0318793624127517,LarryWilliamsPriceAction,58.4195851556806
ALB,0.0283094338113237,RSIDivergence,41.88662671740859
VST,0.0053398932021359,LarryWilliamsPriceAction,122.9587318119608
AVAX-USD,0.118917621647567,MACDBollingerBandsMeanReversion,47.208095668972575
SOL-USD,0.0606587868242635,MichaelHarrisPriceAction,42.227744527650195
LINK-USD,0.0173096538069238,MichaelHarrisPriceAction,124.53615805532448
